id,risk_flag
1,1
2,1
3,0
4,1
5,1
6,1
7,0
8,0
9,0
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,0
23,1
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,1
39,1
40,0
41,0
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,1
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,0
70,1
71,1
72,1
73,0
74,0
75,1
76,1
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,0
86,0
87,1
88,1
89,0
90,0
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,1
105,0
106,0
107,1
108,1
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,0
128,0
129,0
130,1
131,1
132,1
133,1
134,1
135,1
136,0
137,1
138,0
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,1
151,0
152,0
153,1
154,0
155,0
156,1
157,1
158,1
159,0
160,1
161,1
162,0
163,0
164,0
165,1
166,0
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,1
182,0
183,0
184,1
185,0
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,0
217,1
218,0
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,0
248,1
249,0
250,1
251,1
252,1
253,0
254,0
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,0
263,0
264,0
265,0
266,1
267,0
268,1
269,0
270,0
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,1
279,0
280,0
281,1
282,0
283,1
284,0
285,1
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,0
311,0
312,1
313,1
314,0
315,0
316,0
317,1
318,1
319,0
320,0
321,0
322,0
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,1
331,1
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,1
342,0
343,0
344,1
345,1
346,1
347,1
348,1
349,0
350,0
351,1
352,0
353,0
354,1
355,0
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,0
369,1
370,0
371,0
372,1
373,1
374,1
375,1
376,1
377,0
378,1
379,0
380,0
381,1
382,1
383,0
384,1
385,1
386,1
387,1
388,1
389,1
390,0
391,1
392,1
393,0
394,1
395,0
396,0
397,1
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,0
410,1
411,0
412,1
413,1
414,1
415,0
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,0
432,1
433,1
434,1
435,1
436,1
437,0
438,1
439,0
440,1
441,1
442,1
443,1
444,1
445,1
446,0
447,0
448,1
449,1
450,1
451,0
452,1
453,1
454,1
455,1
456,0
457,0
458,0
459,1
460,1
461,0
462,1
463,0
464,1
465,1
466,1
467,0
468,0
469,1
470,1
471,0
472,1
473,1
474,1
475,0
476,0
477,0
478,1
479,0
480,1
481,1
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,1
490,0
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,0
502,1
503,0
504,1
505,0
506,0
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,0
531,0
532,1
533,1
534,1
535,0
536,1
537,1
538,0
539,0
540,1
541,0
542,0
543,1
544,1
545,0
546,1
547,0
548,1
549,0
550,1
551,0
552,0
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,0
562,0
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,0
572,1
573,1
574,0
575,1
576,0
577,0
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,0
589,0
590,1
591,0
592,0
593,1
594,1
595,1
596,0
597,1
598,1
599,1
600,1
601,1
